J1 N=1 rel-error sweep (no cross-substep, baseline)
==========================================================================================
  seed |   max|diff|  max|rel|* |  tx_rel_avg  rot_abs_max
------------------------------------------------------------------------------------------
(* rel only where |fd| > 1e-12; rot_abs_max because rot fd is exactly 0)

  1000 |   3.772e-20  7.604e-12 |   5.095e-12    0.000e+00
  1001 |   3.010e-20  1.325e-11 |   7.675e-12    0.000e+00
  1002 |   6.619e-20  4.287e-11 |   1.770e-11    0.000e+00
  1003 |   2.316e-20  2.400e-11 |   9.656e-12    0.000e+00
  1004 |   7.021e-22  3.592e-12 |   1.499e-12    0.000e+00
  1005 |   2.721e-21  1.083e-12 |   7.659e-13    0.000e+00
  1006 |   8.475e-20  7.070e-12 |   4.406e-12    0.000e+00
  1007 |   2.356e-20  1.331e-11 |   6.263e-12    0.000e+00
  1008 |   6.855e-20  1.427e-11 |   8.196e-12    0.000e+00
  1009 |   2.624e-20  6.007e-12 |   3.049e-12    0.000e+00
