J1 N=2 multistep rel-error sweep (current fix: Step 1 BW active, no leak zero)
==============================================================================================================
  seed  step |   max|diff|  max|rel|* |  tx_rel_avg  rot_abs_max
--------------------------------------------------------------------------------------------------------------
(* rel only where |fd| > 1e-12; rot_abs_max because rot fd is exactly 0)

  1000     0 |   5.713e-12  5.123e-04 |   3.219e-04    1.325e-15
  1000     1 |   5.288e-20  4.165e-12 |   3.277e-12    0.000e+00

  1001     0 |   1.038e-11  9.173e-04 |   3.666e-04    2.178e-15
  1001     1 |   3.905e-20  3.334e-12 |   1.576e-12    0.000e+00

  1002     0 |   7.297e-12  1.620e-04 |   9.679e-05    6.620e-15
  1002     1 |   4.490e-19  1.591e-11 |   1.366e-11    0.000e+00

  1003     0 |   1.613e-12  3.935e-04 |   2.189e-04    5.026e-15
  1003     1 |   8.510e-20  1.361e-11 |   7.402e-12    0.000e+00

  1004     0 |   1.756e-12  6.665e-04 |   3.660e-04    1.225e-16
  1004     1 |   5.860e-21  3.014e-11 |   1.092e-11    0.000e+00

  1005     0 |   3.230e-12  1.384e-04 |   8.695e-05    4.824e-15
  1005     1 |   1.046e-19  8.962e-12 |   4.395e-12    0.000e+00

  1006     0 |   1.961e-11  1.188e-03 |   4.184e-04    1.891e-14
  1006     1 |   2.012e-19  1.580e-11 |   9.696e-12    0.000e+00

  1007     0 |   1.441e-11  1.026e-03 |   4.261e-04    6.750e-15
  1007     1 |   3.230e-19  1.563e-11 |   6.869e-12    0.000e+00

  1008     0 |   1.552e-11  1.019e-03 |   5.428e-04    3.381e-15
  1008     1 |   3.899e-19  1.346e-11 |   7.935e-12    0.000e+00

  1009     0 |   5.013e-12  4.002e-04 |   2.001e-04    5.263e-15
  1009     1 |   3.880e-19  1.357e-11 |   5.978e-12    0.000e+00

